FA1: TOM formula 1 known to treat Anxiety,,,,
Idx,compID,geneID,CompName,GeneSymbol
20231,79942,873,potassium cation,HTR1A
20232,27647,873,DL-Glutamic acid,HTR1A
20233,2687,873,Decane,HTR1A
20234,79938,873,Calcium(II) ion,HTR1A
20235,9026,873,Arachidonic acid,HTR1A
17055,157,1109,Tocopherol,ORM1
17056,9759,1109,Pyroglutamic acid,ORM1
26696,1531,4730,Zinc,ALB
26697,34914,4730,Wogonin,ALB
26698,120,4730,Vitamin C,ALB
26699,3032,4730,Stearic acid,ALB
26700,121,4730,Spermine,ALB
26701,3373,4730,spermidine,ALB
26702,114,4730,Pyruvic acid,ALB
26703,158,4730,PYRIDOXINE,ALB
26704,1840,4730,putrescine,ALB
26705,79942,4730,potassium cation,ALB
26706,10237,4730,Phenol,ALB
26707,1713,4730,pantothenic acid,ALB
26708,3583,4730,Palmitic acid,ALB
26709,86025,4730,Oxygen,ALB
26710,3678,4730,Oxalic acid,ALB
26711,56947,4730,Ononin,ALB
26712,2333,4730,Octane,ALB
26713,34516,4730,Neochanin,ALB
26714,8019,4730,N-(4-{[(2-Amino-4-hydroxypteridin-6-yl)methyl]amino}benzoyl)glutamic acid,ALB
26715,6911,4730,Myristic acid,ALB
26716,80001,4730,Manganese,ALB
26717,31126,4730,Lutein,ALB
26718,9727,4730,Lauric acid,ALB
26719,1530,4730,Iron,ALB
26720,86925,4730,hexahydro-2-oxo-1h-thieno(3,ALB
26721,35400,4730,Ferulic acid,ALB
26722,35889,4730,Ethylene,ALB
26723,31765,4730,DL-Valine,ALB
26724,7783,4730,DL-TYROSINE,ALB
26725,85497,4730,DL-Serine,ALB
26726,8660,4730,DL-Proline,ALB
26727,31797,4730,DL-Methionine,ALB
26728,9038,4730,DL-Isoleucine,ALB
26729,84987,4730,DL-Histidine,ALB
26730,27647,4730,DL-Glutamic acid,ALB
26731,40089,4730,D-Glucopyranose,ALB
26732,2687,4730,Decane,ALB
26733,9988,4730,D-(&minus;)-Fructose,ALB
26734,132,4730,Cystine,ALB
26735,15910,4730,Copper,ALB
26736,69881,4730,cobaltous;[5-(5,ALB
26737,4020,4730,Citric acid,ALB
26738,79939,4730,Chromium,ALB
26739,117,4730,choline,ALB
26740,4236,4730,Caprylic acid,ALB
26741,35084,4730,Calycosin,ALB
26742,79938,4730,Calcium(II) ion,ALB
26743,3374,4730,Butanoic acid,ALB
26744,37992,4730,behenic acid,ALB
26745,9026,4730,Arachidonic acid,ALB
26746,37966,4730,Arachidic acid,ALB
26747,38491,4730,alpha-Ketoglutaric acid,ALB
26748,1622,4730,4-Methylphenol,ALB
26749,3993,4730,4-Hydroxybenzoic acid,ALB
26750,38478,4730,4-Ethylguaiacol,ALB
26751,35274,4730,2-Methylphenol,ALB
26752,44788,4730,1-Hexanoic acid,ALB
26753,10739,4730,(.+/-.)-Tartaric acid,ALB
15315,1531,537,Zinc,PTGS1
15316,34914,537,Wogonin,PTGS1
15317,926,537,Salicylic acid,PTGS1
15318,79942,537,potassium cation,PTGS1
15319,10237,537,Phenol,PTGS1
15320,3583,537,Palmitic acid,PTGS1
15321,31126,537,Lutein,PTGS1
15322,144,537,L-Tryptophan,PTGS1
15323,35400,537,Ferulic acid,PTGS1
15324,153,537,Eicosapentanoic acid,PTGS1
15325,32774,537,Carvacrol,PTGS1
15326,79938,537,Calcium(II) ion,PTGS1
15327,3374,537,Butanoic acid,PTGS1
15328,35029,537,Baicalein,PTGS1
15329,9026,537,Arachidonic acid,PTGS1
15330,1622,537,4-Methylphenol,PTGS1
15331,36036,537,(.+/-.)-Mellein,PTGS1
15332,32789,537,(-)-patchoulol,PTGS1
12840,1531,808,Zinc,TSPO
12841,120,808,Vitamin C,TSPO
12842,3032,808,Stearic acid,TSPO
12843,121,808,Spermine,TSPO
12844,3373,808,spermidine,TSPO
12845,926,808,Salicylic acid,TSPO
12846,114,808,Pyruvic acid,TSPO
12847,1840,808,putrescine,TSPO
12848,79942,808,potassium cation,TSPO
12849,10237,808,Phenol,TSPO
12850,3583,808,Palmitic acid,TSPO
12851,86025,808,Oxygen,TSPO
12852,3678,808,Oxalic acid,TSPO
12853,2333,808,Octane,TSPO
12854,8019,808,N-(4-{[(2-Amino-4-hydroxypteridin-6-yl)methyl]amino}benzoyl)glutamic acid,TSPO
12855,6911,808,Myristic acid,TSPO
12856,80001,808,Manganese,TSPO
12857,9727,808,Lauric acid,TSPO
12858,1530,808,Iron,TSPO
12859,86925,808,hexahydro-2-oxo-1h-thieno(3,TSPO
