herbID,compID,geneID,herbName,compName,geneName,geneSymbol
368,117,1,Angelica sinensis,choline,Prothrombin / coagulation factor II (thrombin) / THROMBIN,F2
368,2414,1,Angelica sinensis,gamma-Aminobutyric acid,Prothrombin / coagulation factor II (thrombin) / THROMBIN,F2
368,9038,1,Angelica sinensis,DL-Isoleucine,Prothrombin / coagulation factor II (thrombin) / THROMBIN,F2
368,27647,1,Angelica sinensis,DL-Glutamic acid,Prothrombin / coagulation factor II (thrombin) / THROMBIN,F2
368,31796,1,Angelica sinensis,DL-Lysine,Prothrombin / coagulation factor II (thrombin) / THROMBIN,F2
368,31797,1,Angelica sinensis,DL-Methionine,Prothrombin / coagulation factor II (thrombin) / THROMBIN,F2
368,7783,2,Angelica sinensis,DL-TYROSINE,Epidermal growth factor receptor / epidermal growth factor receptor,EGFR
368,27647,2,Angelica sinensis,DL-Glutamic acid,Epidermal growth factor receptor / epidermal growth factor receptor,EGFR
368,31796,2,Angelica sinensis,DL-Lysine,Epidermal growth factor receptor / epidermal growth factor receptor,EGFR
368,31797,2,Angelica sinensis,DL-Methionine,Epidermal growth factor receptor / epidermal growth factor receptor,EGFR
368,3370,9,Angelica sinensis,Tetradecane,Complement C1s subcomponent / complement component 1,C1S
368,7783,9,Angelica sinensis,DL-TYROSINE,Complement C1s subcomponent / complement component 1,C1S
368,27647,9,Angelica sinensis,DL-Glutamic acid,Complement C1s subcomponent / complement component 1,C1S
368,31796,9,Angelica sinensis,DL-Lysine,Complement C1s subcomponent / complement component 1,C1S
368,69881,9,Angelica sinensis,cobaltous;[5-(5,Complement C1s subcomponent / complement component 1,C1S
368,2414,13,Angelica sinensis,gamma-Aminobutyric acid,Low affinity immunoglobulin gamma Fc region receptor II-c / Fc fragment of IgG,FCGR2C
368,8660,13,Angelica sinensis,DL-Proline,Low affinity immunoglobulin gamma Fc region receptor II-c / Fc fragment of IgG,FCGR2C
368,31797,14,Angelica sinensis,DL-Methionine,Interleukin-2 receptor subunit alpha / interleukin 2 receptor,IL2RA
368,117,17,Angelica sinensis,choline,Tumor necrosis factor / tumor necrosis factor / TUMOR NECROSIS FACTOR (TNF-ALPHA),TNF
368,2635,17,Angelica sinensis,Dodecane,Tumor necrosis factor / tumor necrosis factor / TUMOR NECROSIS FACTOR (TNF-ALPHA),TNF
368,3370,17,Angelica sinensis,Tetradecane,Tumor necrosis factor / tumor necrosis factor / TUMOR NECROSIS FACTOR (TNF-ALPHA),TNF
368,6058,17,Angelica sinensis,(+)-brefeldin A,Tumor necrosis factor / tumor necrosis factor / TUMOR NECROSIS FACTOR (TNF-ALPHA),TNF
368,9038,17,Angelica sinensis,DL-Isoleucine,Tumor necrosis factor / tumor necrosis factor / TUMOR NECROSIS FACTOR (TNF-ALPHA),TNF
368,20814,17,Angelica sinensis,DL-Tryptophan,Tumor necrosis factor / tumor necrosis factor / TUMOR NECROSIS FACTOR (TNF-ALPHA),TNF
368,27647,17,Angelica sinensis,DL-Glutamic acid,Tumor necrosis factor / tumor necrosis factor / TUMOR NECROSIS FACTOR (TNF-ALPHA),TNF
368,31796,17,Angelica sinensis,DL-Lysine,Tumor necrosis factor / tumor necrosis factor / TUMOR NECROSIS FACTOR (TNF-ALPHA),TNF
368,31797,17,Angelica sinensis,DL-Methionine,Tumor necrosis factor / tumor necrosis factor / TUMOR NECROSIS FACTOR (TNF-ALPHA),TNF
368,35400,17,Angelica sinensis,Ferulic acid,Tumor necrosis factor / tumor necrosis factor / TUMOR NECROSIS FACTOR (TNF-ALPHA),TNF
368,43123,17,Angelica sinensis,Hexadecan-1-ol,Tumor necrosis factor / tumor necrosis factor / TUMOR NECROSIS FACTOR (TNF-ALPHA),TNF
368,31797,18,Angelica sinensis,DL-Methionine,Tumor necrosis factor receptor superfamily member 1B / tumor necrosis factor receptor superfamily,TNFRSF1B
368,31796,20,Angelica sinensis,DL-Lysine,Gonadotropin-releasing hormone receptor / gonadotropin-releasing hormone receptor / GONADOTROPIN-RELEASING HORMONE RECEPTOR,GNRHR
