herbID,compID,geneID,herbName,compName,geneName,geneSymbol
55,9038,1,Rehmannia glutinosa,DL-Isoleucine,Prothrombin / coagulation factor II (thrombin) / THROMBIN,F2
55,27647,1,Rehmannia glutinosa,DL-Glutamic acid,Prothrombin / coagulation factor II (thrombin) / THROMBIN,F2
55,31796,1,Rehmannia glutinosa,DL-Lysine,Prothrombin / coagulation factor II (thrombin) / THROMBIN,F2
55,7783,2,Rehmannia glutinosa,DL-TYROSINE,Epidermal growth factor receptor / epidermal growth factor receptor,EGFR
55,27647,2,Rehmannia glutinosa,DL-Glutamic acid,Epidermal growth factor receptor / epidermal growth factor receptor,EGFR
55,31796,2,Rehmannia glutinosa,DL-Lysine,Epidermal growth factor receptor / epidermal growth factor receptor,EGFR
55,7783,9,Rehmannia glutinosa,DL-TYROSINE,Complement C1s subcomponent / complement component 1,C1S
55,27647,9,Rehmannia glutinosa,DL-Glutamic acid,Complement C1s subcomponent / complement component 1,C1S
55,31796,9,Rehmannia glutinosa,DL-Lysine,Complement C1s subcomponent / complement component 1,C1S
55,732,17,Rehmannia glutinosa,D-(-)-Mannitol,Tumor necrosis factor / tumor necrosis factor / TUMOR NECROSIS FACTOR (TNF-ALPHA),TNF
55,3032,17,Rehmannia glutinosa,Stearic acid,Tumor necrosis factor / tumor necrosis factor / TUMOR NECROSIS FACTOR (TNF-ALPHA),TNF
55,9038,17,Rehmannia glutinosa,DL-Isoleucine,Tumor necrosis factor / tumor necrosis factor / TUMOR NECROSIS FACTOR (TNF-ALPHA),TNF
55,27647,17,Rehmannia glutinosa,DL-Glutamic acid,Tumor necrosis factor / tumor necrosis factor / TUMOR NECROSIS FACTOR (TNF-ALPHA),TNF
55,31796,17,Rehmannia glutinosa,DL-Lysine,Tumor necrosis factor / tumor necrosis factor / TUMOR NECROSIS FACTOR (TNF-ALPHA),TNF
55,35662,17,Rehmannia glutinosa,Catalpol,Tumor necrosis factor / tumor necrosis factor / TUMOR NECROSIS FACTOR (TNF-ALPHA),TNF
55,31796,20,Rehmannia glutinosa,DL-Lysine,Gonadotropin-releasing hormone receptor / gonadotropin-releasing hormone receptor / GONADOTROPIN-RELEASING HORMONE RECEPTOR,GNRHR
55,31765,23,Rehmannia glutinosa,DL-Valine,Plasminogen / plasminogen / PLASMIN,PLG
55,31796,23,Rehmannia glutinosa,DL-Lysine,Plasminogen / plasminogen / PLASMIN,PLG
55,9759,24,Rehmannia glutinosa,Pyroglutamic acid,Fibrinogen alpha chain / fibrinogen alpha chain,FGA
55,31796,25,Rehmannia glutinosa,DL-Lysine,Urokinase plasminogen activator surface receptor / plasminogen activator,PLAUR
55,3032,26,Rehmannia glutinosa,Stearic acid,Plasminogen activator inhibitor 1 / serpin peptidase inhibitor,SERPINE1
55,31796,26,Rehmannia glutinosa,DL-Lysine,Plasminogen activator inhibitor 1 / serpin peptidase inhibitor,SERPINE1
