FE7: TOM formula 7 known to treat Epilepsy,,,,
Idx,compID,geneID,CompName,GeneSymbol
8379,3967,4915,Quercetin,A1BG
17020,1691,156,Isopropyl methoxy pyrazine,A2M
31996,79938,156,Calcium(II) ion,A2M
6019,3373,1922,spermidine,aacC1
3065,1531,5008,Zinc,AADAC
9161,9759,5008,Pyroglutamic acid,AADAC
11756,10237,5008,Phenol,AADAC
21981,31797,5008,DL-Methionine,AADAC
24105,84987,5008,DL-Histidine,AADAC
25347,27647,5008,DL-Glutamic acid,AADAC
33341,79938,5008,Calcium(II) ion,AADAC
1099,1531,3630,Zinc,AADACL2
9099,9759,3630,Pyroglutamic acid,AADACL2
11424,10237,3630,Phenol,AADACL2
21501,31797,3630,DL-Methionine,AADACL2
23706,84987,3630,DL-Histidine,AADACL2
25265,27647,3630,DL-Glutamic acid,AADACL2
31592,79938,3630,Calcium(II) ion,AADACL2
573,1531,39114,Zinc,AADACL4
9083,9759,39114,Pyroglutamic acid,AADACL4
11323,10237,39114,Phenol,AADACL4
21361,31797,39114,DL-Methionine,AADACL4
23584,84987,39114,DL-Histidine,AADACL4
25235,27647,39114,DL-Glutamic acid,AADACL4
31071,79938,39114,Calcium(II) ion,AADACL4
8766,3967,177,Quercetin,AADAT
10814,31784,177,Pipecolic acid,AADAT
11074,2102,177,Phenylethyl alcohol,AADAT
25177,27647,177,DL-Glutamic acid,AADAT
35181,5525,177,Benzyl alcohol,AADAT
36302,38491,177,alpha-Ketoglutaric acid,AADAT
25166,27647,1694,DL-Glutamic acid,AANAT
2710,1531,690,Zinc,AARS
3452,120,690,Vitamin C,AARS
20778,85497,690,DL-Serine,AARS
21887,31797,690,DL-Methionine,AARS
23376,9038,690,DL-Isoleucine,AARS
24045,84987,690,DL-Histidine,AARS
25610,31783,690,DL-asparagine,AARS
2983,1531,689,Zinc,AARS2
20799,85497,689,DL-Serine,AARS2
324,1531,434,Zinc,AASS
5886,121,434,Spermine,AASS
6060,3373,434,spermidine,AASS
6573,3967,434,Quercetin,AASS
9325,1840,434,putrescine,AASS
10793,31784,434,Pipecolic acid,AASS
12947,86025,434,Oxygen,AASS
15362,80001,434,Manganese,AASS
24282,27647,434,DL-Glutamic acid,AASS
27646,4373,434,Coumarin,AASS
28124,15910,434,Copper,AASS
30865,79938,434,Calcium(II) ion,AASS
36041,38491,434,alpha-Ketoglutaric acid,AASS
4072,36879,178,Vanillin,ABAT
8951,114,178,Pyruvic acid,ABAT
9401,1840,178,putrescine,ABAT
9483,1020,178,Probenecid,ABAT
10820,10339,178,Phloridzin,ABAT
17001,8153,178,L-(+)-Alanine,ABAT
23983,84987,178,DL-Histidine,ABAT
